Proj:65  [2018-04-17 18:54:45,543] INFO  Town:main:59               Message: Get res is done: ru           
Proj:68  [2018-04-17 18:54:45,546] INFO  Town:main:65               Message: Encoding is done              
Proj:69  [2018-04-17 18:54:45,547] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:54:58,757] INFO  Town:main:9                Message: started                       
Proj:16  [2018-04-17 18:54:58,773] INFO  Town:main:11               Message: Submited two arguments        
Proj:18  [2018-04-17 18:54:58,775] INFO  Town:main:53               Message: Get time is done: 2           
Proj:20  [2018-04-17 18:54:58,777] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:20  [2018-04-17 18:54:58,777] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:65  [2018-04-17 18:54:58,822] INFO  Town:main:59               Message: Get res is done: ru           
Proj:67  [2018-04-17 18:54:58,824] INFO  Town:main:65               Message: Encoding is done              
Proj:68  [2018-04-17 18:54:58,825] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:56:00,976] INFO  Town:main:9                Message: started                       
Proj:18  [2018-04-17 18:56:00,994] INFO  Town:main:11               Message: Submited two arguments        
Proj:19  [2018-04-17 18:56:00,995] INFO  Town:main:53               Message: Get time is done: 2           
Proj:20  [2018-04-17 18:56:00,996] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:22  [2018-04-17 18:56:00,998] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:69  [2018-04-17 18:56:01,045] INFO  Town:main:59               Message: Get res is done: ru           
Proj:72  [2018-04-17 18:56:01,048] INFO  Town:main:65               Message: Encoding is done              
Proj:73  [2018-04-17 18:56:01,049] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:56:30,172] INFO  Town:main:9                Message: started                       
Proj:17  [2018-04-17 18:56:30,189] INFO  Town:main:11               Message: Submited two arguments        
Proj:18  [2018-04-17 18:56:30,190] INFO  Town:main:53               Message: Get time is done: 2           
Proj:19  [2018-04-17 18:56:30,191] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:20  [2018-04-17 18:56:30,192] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:63  [2018-04-17 18:56:30,235] INFO  Town:main:59               Message: Get res is done: ru           
Proj:65  [2018-04-17 18:56:30,237] INFO  Town:main:65               Message: Encoding is done              
Proj:66  [2018-04-17 18:56:30,238] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:56:43,812] INFO  Town:main:9                Message: started                       
Proj:20  [2018-04-17 18:56:43,832] INFO  Town:main:11               Message: Submited two arguments        
Proj:21  [2018-04-17 18:56:43,833] INFO  Town:main:53               Message: Get time is done: 2           
Proj:22  [2018-04-17 18:56:43,834] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:23  [2018-04-17 18:56:43,835] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:76  [2018-04-17 18:56:43,888] INFO  Town:main:59               Message: Get res is done: ru           
Proj:78  [2018-04-17 18:56:43,890] INFO  Town:main:65               Message: Encoding is done              
Proj:79  [2018-04-17 18:56:43,891] INFO  Town:main:17               Message: ended                         
Proj:1   [2018-04-17 18:57:37,997] INFO  Town:main:9                Message: started                       
Proj:17  [2018-04-17 18:57:38,013] INFO  Town:main:11               Message: Submited two arguments        
Proj:18  [2018-04-17 18:57:38,014] INFO  Town:main:53               Message: Get time is done: 2           
Proj:19  [2018-04-17 18:57:38,015] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:20  [2018-04-17 18:57:38,016] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:86  [2018-04-17 18:57:38,082] INFO  Town:main:59               Message: Get res is done: ru           
Proj:88  [2018-04-17 18:57:38,084] INFO  Town:main:65               Message: Encoding is done              
Proj:89  [2018-04-17 18:57:38,085] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:57:58,723] INFO  Town:main:9                Message: started                       
Proj:17  [2018-04-17 18:57:58,740] INFO  Town:main:11               Message: Submited two arguments        
Proj:19  [2018-04-17 18:57:58,742] INFO  Town:main:53               Message: Get time is done: 2           
Proj:20  [2018-04-17 18:57:58,743] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
